작성일,종목명,종목코드,제목,적정가격,평가의견,작성자,작성기관,기업정보,첨부파일,현재가격
2025-11-18,대한조선,439260, 3Q25 Re 한국 조선업 역사상 최고 수익성 달성 3Q25 Re 한국 조선업 역사상 최고 수익성 달성 3Q25 Re 한국 조선업 역사상 최고 수익성 달성 ,"100,000",매수,오지훈,IBK투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=439260&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644801,67600
2025-11-18,한국카본,017960, 3Q25 Re 견조한 본업 다만 아쉬웠던 자회사 실적 3Q25 Re 견조한 본업 다만 아쉬웠던 자회사 실적 3Q25 Re 견조한 본업 다만 아쉬웠던 자회사 실적 ,"51,000",매수,오지훈,IBK투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=017960&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644799,28350
2025-11-18,기가비스,420770, 전방산업 증설 효과가 나타날 시기 전방산업 증설 효과가 나타날 시기 전방산업 증설 효과가 나타날 시기 ,"45,000",Buy,신희철,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=420770&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644798,33550
2025-11-18,금호건설,002990, NDR 후기 성장의 궤도 NDR 후기 성장의 궤도 NDR 후기 성장의 궤도 ,0,NotRated,김세련,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=002990&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644797,3710
2025-11-18,서울보증보험,031210, 보험손익이 개선되는 보험주 보험손익이 개선되는 보험주 보험손익이 개선되는 보험주 ,0,NotRated,전배승,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=031210&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644796,50100
2025-11-18,SAMG엔터,419530, 나 돌아왔어 츄 나 돌아왔어 츄 나 돌아왔어 츄 ,"70,000",Buy,이현지,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=419530&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644791,44200
2025-11-18,서진시스템,178320, 북미 AI 인프라 구축의 동반자 북미 AI 인프라 구축의 동반자 북미 AI 인프라 구축의 동반자 ,"33,000",Buy,허준서,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=178320&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644790,22750
2025-11-18,전진건설로봇,079900, 3Q25 Review 유럽 재건 수요 회복 중 3Q25 Review 유럽 재건 수요 회복 중 3Q25 Review 유럽 재건 수요 회복 중 ,"61,000",Buy,박종선,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=079900&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644789,44350
2025-11-18,쿠콘,294570, 3Q25 Review PG 부문 수익성 개선 3Q25 Review PG 부문 수익성 개선 3Q25 Review PG 부문 수익성 개선 ,0,nr,박종선,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=294570&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644788,32250
2025-11-17,영원무역,111770, 3Q25 Review 극복하면 그만 3Q25 Review 극복하면 그만 3Q25 Review 극복하면 그만 ,"94,000",Buy,이진협,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=111770&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644780,85100
2025-11-17,삼양식품,003230, 불확실성 해소 불확실성 해소 기대치에 부합한 3분기 4분기에도 사상 최대 실적 경신 예상 ,"1,800,000",Buy,한유정,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=003230&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644779,1401000
2025-11-17,미스토홀딩스,081660, 3Q25 Review 덜어내고 강화하고 3Q25 Review 덜어내고 강화하고 3Q25 Review 덜어낼 것은 덜어내고 성장 동력은 강화하고 ,"68,000",Buy,이진협,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=081660&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644778,41500
2025-11-17,NICE인프라,063570, 3Q25 Review 영업이익 38 3 YoY 3Q25 Review 영업이익 38 3 YoY 3Q25 Review 영업이익 38 3 YoY ,"7,000",Buy,정홍식,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=063570&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644776,4285
2025-11-17,DB손해보험,005830, 수익성 관리기조 강화 수익성 관리기조 강화 수익성 관리기조 강화 ,"160,000",Buy,전배승,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=005830&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644775,120100
2025-11-17,코미코,183300, 큰 도약을 위한 준비 큰 도약을 위한 준비 큰 도약을 위한 준비 ,"150,000",매수,이동주,SK증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=183300&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644769,88400
